"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10uf","C_0402_1005Metric","147.63496","-59.32932","0","top"
"C2","10uf","C_0402_1005Metric","135.5725","-47.117","0","top"
"C3","1uf","C_0402_1005Metric","135.5955","-43.688","180","top"
"C4","1nF","C_0402_1005Metric","154.94","-19.6215","0","top"
"C5","2.2uF","C_0402_1005Metric","135.5495","-53.975","0","top"
"C6","2.2uF","C_0402_1005Metric","134.6454","-63.6778","270","top"
"C7","0.1uf","C_0402_1005Metric","154.94","-18.542","180","top"
"C8","220nf","C_0402_1005Metric","151.384","-52.197","180","top"
"C9","0.1uF","C_0402_1005Metric","133.5786","-63.6778","270","top"
"C10","0.1uf","C_0402_1005Metric","135.5725","-48.26","0","top"
"C11","0.1uF","C_0402_1005Metric","135.5725","-49.403","0","top"
"C12","10uF","C_0402_1005Metric","151.384","-51.054","180","top"
"C13","1nF","C_0402_1005Metric","131.95","-23.66","180","top"
"C14","2.2nf","C_0402_1005Metric","135.5725","-50.546","0","top"
"C15","2.2nf","C_0402_1005Metric","135.5725","-52.832","0","top"
"C16","10uf","C_0402_1005Metric","140.10386","-59.32678","0","top"
"D1","D","D_SOD-323","139.573","-56.94074","270","top"
"D2","LED","LED_0603_1608Metric","155.053","-23.368","0","top"
"D3","D","D_SOD-323","154.94","-25.146","180","top"
"D4","D","D_SOD-323","136.8425","-63.6905","180","top"
"J1","10118192-0001LF","USB-MICRO-B_C40942","144.26","-61.04","0","top"
"R1","220","R_0402_1005Metric","151.361","-54.483","0","top"
"R2","280","R_0402_1005Metric","151.384","-53.34","0","top"
"R3","10k","R_0402_1005Metric","151.384","-47.625","0","top"
"R4","10k","R_0402_1005Metric","151.384","-48.768","0","top"
"R5","10k","R_0402_1005Metric","151.384","-49.911","0","top"
"R6","10k","R_0402_1005Metric","151.384","-46.482","0","top"
"R7","10k","R_0402_1005Metric","135.5955","-44.831","0","top"
"R8","10k","R_0402_1005Metric","135.5725","-45.974","0","top"
"R9","470","R_0402_1005Metric","135.5725","-51.689","0","top"
"R10","470","R_0402_1005Metric","132.0292","-63.7032","270","top"
"R11","12k","R_0402_1005Metric","154.94","-20.701","0","top"
"R12","470","R_0402_1005Metric","131.95","-24.66","0","top"
"R13","100","R_0402_1005Metric","154.94","-22.0345","0","top"
"R14","470","R_0402_1005Metric","131.95","-25.66","0","top"
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK","131.98","-20.34","90","top"
"U1","EL3H7","SOP-4_4.4x2.6mm_P1.27mm","144.96","-56.99","0","top"
"U2","LM1117-3.3","SOT-223-3_TabPin2","152.95","-59.92","90","top"
"U3","KLM8G1GETF","KLM8G1GETF_ALL_PADS","143.48","-49.24","180","top"
"U4","PCM5100","TSSOP-20_4.4x6.5mm_P0.65mm","134.47","-58.99","270","top"
"U5","ESP32-WROVER-B_(16MB)","XCVR_ESP32-WROVER-B_(16MB)","143.5","-26.9","270","top"